time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
5/11/21,2.6,98.84,6,1.7,,,,,,,,,,,,,,,,,
5/11/21,2.61,98.81,6,2,,,,,,,,,,,,,,,,,
5/11/21,2.5,98.82,5,1.7,,,,,,,,,,,,,,,,,
5/11/21,2.68,98.72,8,1.4,,,,,,,,,,,,,,,,,
5/11/21,2.33,98.85,8,2.3,,,,,,,,,,,,,,,,,
5/11/21,2.5,98.86,8,3.2,,,,,,,,,,,,,,,,,
5/11/21,2.53,98.82,5,3.6,,,,,,,,,,,,,,,,,
5/11/21,2.55,98.76,7,2.4,,,,,,,,,,,,,,,,,
5/11/21,2.63,98.76,4,1.9,,,,,,,,,,,,,,,,,
5/11/21,2.61,98.84,8,2.1,,,,,,,,,,,,,,,,,
5/11/21,2.64,98.71,3,1.5,,,,,,,,,,,,,,,,,
5/11/21,2.5,98.82,3,1.8,,,,,,,,,,,,,,,,,
5/11/21,2.5,98.83,5,1.5,,,,,,,,,,,,,,,,,
5/11/21,2.63,98.73,3,1.6,,,,,,,,,,,,,,,,,
5/11/21,2.61,98.7,3,1.9,,,,,,,,,,,,,,,,,
5/11/21,2.60,98.75,5,2.10,,,,,,,,,,,,,,,,,
5/11/21,2.59,98.73,5,1.50,,,,,,,,,,,,,,,,,
5/11/21,2.54,98.84,2,1.60,,,,,,,,,,,,,,,,,
